ticker,date,open,high,low,close,volume
AAPL,2000-02-04,103.94,110.0,103.62,108.0,3797500
AAPL,2000-02-07,108.0,114.25,105.94,114.06,3938100
AAPL,2000-02-08,114.0,116.12,111.25,114.87,3648600
AAPL,2000-02-09,114.12,117.12,112.44,112.62,2672900
AAPL,2000-02-10,112.87,113.87,110.0,113.5,2705200
AAPL,2000-02-11,113.62,114.12,108.25,108.75,1895100
AAPL,2000-02-14,109.31,115.87,108.62,115.81,3281600
AAPL,2000-02-15,115.25,119.94,115.19,119.0,4337000
AAPL,2000-02-16,117.75,118.12,112.12,114.12,3377200
AAPL,2000-02-17,115.19,115.5,113.12,114.87,2584800
AAPL,2000-02-18,114.62,115.37,110.87,111.25,2084300
AAPL,2000-02-22,110.12,116.94,106.69,113.81,3770500
AAPL,2000-02-23,113.23,119.0,111.0,116.25,4224100
AAPL,2000-02-24,117.31,119.12,111.75,115.2,3361000
AAPL,2000-02-25,114.81,117.0,110.12,110.37,2224500
AAPL,2000-02-28,110.12,115.0,108.37,113.25,2931500
AAPL,2000-02-29,113.56,117.25,112.56,114.62,3294300
AAPL,2000-03-01,118.56,132.06,118.5,130.31,9616100
AAPL,2000-03-02,127.0,127.94,120.69,122.0,2779100
AAPL,2000-03-03,124.87,128.23,120.0,128.0,2887200
AAPL,2000-03-06,126.0,129.13,125.0,125.69,1880000
AAPL,2000-03-07,126.44,127.44,121.12,122.87,2437600
AAPL,2000-03-08,122.87,123.94,118.56,122.0,2421700
AAPL,2000-03-09,120.87,125.0,118.25,122.25,2470700
AAPL,2000-03-10,121.69,127.94,121.0,125.75,2219700
AAPL,2000-03-13,122.12,126.5,119.5,121.31,2713900
AAPL,2000-03-14,121.22,124.25,114.0,114.25,3826600
AAPL,2000-03-15,115.62,120.25,114.12,116.25,3960800
AAPL,2000-03-16,117.31,122.0,114.5,121.56,3375900
AAPL,2000-03-17,120.12,125.0,119.62,125.0,2723600
AAPL,2000-03-20,123.5,126.25,122.37,123.0,1825800
AAPL,2000-03-21,122.56,136.75,121.62,134.94,4681500
AAPL,2000-03-22,132.78,144.38,131.56,144.19,5071400
AAPL,2000-03-23,142.0,150.38,140.0,141.31,5022900
AAPL,2000-03-24,142.44,143.94,135.5,138.69,3990300
AAPL,2000-03-27,137.63,144.75,136.88,139.56,2492700
AAPL,2000-03-28,137.25,142.0,137.13,139.13,1812200
AAPL,2000-03-29,139.38,139.44,133.83,135.94,2141400
